"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Subclasses","Text","At Higher Levels"
"Dancing Lights","PHB'24","259","Cantrip","Action","Concentration, up to 1 minute","Illusion","120 feet","V, S, M (a bit of phosphorus)","Artificer (EFA), Bard (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Illusionist (PHB'24) Wizard, Sinner (TCM'24) Rogue, Sinner (TCM'14) Rogue, Sinner (TCM'14) Rogue","You create up to four torch-size lights within range, making them appear as torches, lanterns, or glowing orbs that hover for the duration. Alternatively, you combine the four lights into one glowing Medium form that is vaguely humanlike. Whichever form you choose, each light sheds Dim Light in a 10-foot radius.

As a Bonus Action, you can move the lights up to 60 feet to a space within range. A light must be within 20 feet of another light created by this spell, and a light vanishes if it exceeds the spell's range.",""
"Darkness","PHB'24","260","2nd","Action","Concentration, up to 10 minutes","Evocation","60 feet","V, M (bat fur and a piece of coal)","Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","Apocalypse (CBT) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Land (Swamp) (PHB'14) Druid, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard, Hungering Dark (CBT) Sorcerer, Oathbreaker (DMG'14) Paladin, Oathbreaker (DMG'14) Paladin, Shadow (XGE) Sorcerer, Shadow (RHW) Sorcerer, Shadow (PHB'24) Monk, Shadow (PHB'14) Monk","For the duration, magical Darkness spreads from a point within range and fills a 15-foot-radius Sphere. Darkvision can't see through it, and nonmagical light can't illuminate it.

Alternatively, you cast the spell on an object that isn't being worn or carried, causing the Darkness to fill a 15-foot Emanation originating from that object. Covering that object with something opaque, such as a bowl or helm, blocks the Darkness.

If any of this spell's area overlaps with an area of Bright Light or Dim Light created by a spell of level 2 or lower, that other spell is dispelled.",""
"Darkvision","PHB'24","260","2nd","Action","8 hours","Transmutation","Touch","V, S, M (a dried carrot)","Artificer (EFA), Druid (PHB'24), Ranger (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Shadow (PHB'14) Monk","For the duration, a willing creature you touch has Darkvision with a range of 150 feet.",""
"Daylight","PHB'24","260","3rd","Action","1 hour","Evocation","60 feet","V, S","Cleric (PHB'24), Druid (PHB'24), Paladin (PHB'24), Ranger (PHB'24), Sorcerer (PHB'24)","","Celestial (PHB'24) Warlock, Land (Grassland) (PHB'14) Druid, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Light (PHB'24) Cleric, Light (PHB'14) Cleric, Celestial (XGE) Warlock","For the duration, sunlight spreads from a point within range and fills a 60-foot-radius Sphere. The sunlight's area is Bright Light and sheds Dim Light for an additional 60 feet.

Alternatively, you cast the spell on an object that isn't being worn or carried, causing the sunlight to fill a 60-foot Emanation originating from that object. Covering that object with something opaque, such as a bowl or helm, blocks the sunlight.

If any of this spell's area overlaps with an area of Darkness created by a spell of level 3 or lower, that other spell is dispelled.",""
"Death Armor","FRHoF","143","2nd","Action","1 hour","Necromancy","Touch","V, S, M (an onyx worth 50+ GP, which the spell consumes)","Sorcerer (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","For the duration, an inky aura surrounds one creature you touch. The target has Advantage on Death Saving Throws, and once per turn, when a creature within 5 feet of the target hits it with a melee attack roll, the attacker takes 2d4 Necrotic damage.",""
"Delayed Blast Fireball","PHB'24","261","7th","Action","Concentration, up to 1 minute","Evocation","150 feet","V, S, M (a ball of bat guano and sulfur)","Sorcerer (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Evoker (PHB'24) Wizard","A beam of yellow light flashes from you, then condenses at a chosen point within range as a glowing bead for the duration. When the spell ends, the bead explodes, and each creature in a 20-foot-radius Sphere centered on that point makes a Dexterity saving throw. A creature takes Fire damage equal to the total accumulated damage on a failed save or half as much damage on a successful one.

The spell's base damage is 12d6, and the damage increases by 1d6 whenever your turn ends and the spell hasn't ended.

If a creature touches the glowing bead before the spell ends, that creature makes a Dexterity saving throw. On a failed save, the spell ends, causing the bead to explode. On a successful save, the creature can throw the bead up to 40 feet. If the thrown bead enters a creature's space or collides with a solid object, the spell ends, and the bead explodes.

When the bead explodes, flammable objects in the explosion that aren't being worn or carried start burning.","Using a Higher-Level Spell Slot. The base damage increases by 1d6 for each spell slot level above 7."
"Demiplane","PHB'24","261","8th","Action","1 hour","Conjuration","60 feet","S","Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric","You create a shadowy Medium door on a flat solid surface that you can see within range. This door can be opened and closed, and it leads to a demiplane that is an empty room 30 feet in each dimension, made of wood or stone (your choice).

When the spell ends, the door vanishes, and any objects inside the demiplane remain there. Any creatures inside also remain unless they opt to be shunted through the door as it vanishes, landing with the Prone condition in the unoccupied spaces closest to the door's former space.

Each time you cast this spell, you can create a new demiplane or connect the shadowy door to a demiplane you created with a previous casting of this spell. Additionally, if you know the nature and contents of a demiplane created by a casting of this spell by another creature, you can connect the shadowy door to that demiplane instead.",""
"Detect Magic","PHB'24","262","1st","Action","Concentration, up to 10 minutes","Divination (ritual)","Self","V, S","Artificer (EFA), Bard (PHB'24), Cleric (PHB'24), Druid (PHB'24), Paladin (PHB'24), Ranger (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Diviner (PHB'24) Wizard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Knowledge (FRHoF) Cleric, Watchers (TCE) Paladin, Watchers (TCE) Paladin, Cosmic Balance (CBT) Monk","For the duration, you sense the presence of magical effects within 30 feet of yourself. If you sense such effects, you can take the Magic action to see a faint aura around any visible creature or object in the area that bears the magic, and if an effect was created by a spell, you learn the spell's school of magic.

The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",""
"Detect Thoughts","PHB'24","262","2nd","Action","Concentration, up to 1 minute","Divination","Self","V, S, M (1 Copper Piece)","Bard (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Aberrant Mind (TCE) Sorcerer, Aberrant (PHB'24) Sorcerer, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Diviner (PHB'24) Wizard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Great Old One (PHB'24) Warlock, Knowledge (FRHoF) Cleric, Great Old One (PHB'14) Warlock","You activate one of the effects below. Until the spell ends, you can activate either effect as a Magic action on your later turns.

Sense Thoughts. You sense the presence of thoughts within 30 feet of yourself that belong to creatures that know languages or are telepathic. You don't read the thoughts, but you know that a thinking creature is present.

The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.

Read Thoughts. Target one creature you can see within 30 feet of yourself or one creature within 30 feet of yourself that you detected with the Sense Thoughts option. You learn what is most on the target's mind right now. If the target doesn't know any languages and isn't telepathic, you learn nothing.

As a Magic action on your next turn, you can try to probe deeper into the target's mind. If you probe deeper, the target makes a Wisdom saving throw. On a failed save, you discern the target's reasoning, emotions, and something that looms large in its mind (such as a worry, love, or hate). On a successful save, the spell ends. Either way, the target knows that you are probing into its mind, and until you shift your attention away from the target's mind, the target can take an action on its turn to make an Intelligence (Arcana) check against your spell save DC, ending the spell on a success.",""
"Devil's Due","TCM'24","128","1st","Reaction","Instantaneous","Necromancy","30 feet","S, M (a glob of pitch)","Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","","You absorb a measure of a creature's suffering and escaping vital essence. Expend and roll one Hit Points Die. You regain a number of Hit Points equal to the number rolled plus your spellcasting ability modifier.

If the creature took damage from a Critical Hit, double the number of Hit Points you regain.","Using a Higher-Level Spell Slot. You can expend one additional Hit Points Die for each spell slot level above 1."
"Dimension Door","PHB'24","262","4th","Action","Instantaneous","Conjuration","500 feet","V","Bard (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'14) Rogue, Arcane Trickster (PHB'24) Rogue, Eldritch Knight (PHB'14) Fighter, Eldritch Knight (PHB'24) Fighter, Feline Court (CBT) Warlock, Fey Wanderer (TCE) Ranger, Fey Wanderer (PHB'24) Ranger, Vengeance (PHB'14) Paladin, Vengeance (PHB'24) Paladin, Trickery (PHB'14) Cleric, Trickery (PHB'24) Cleric, Ambition (PSA) (PSA) Cleric, Ambition (PSA) (PSA) Cleric","You teleport to a location within range. You arrive at exactly the spot desired. It can be a place you can see, one you can visualize, or one you can describe by stating distance and direction, such as ""200 feet straight downward"" or ""300 feet upward to the northwest at a 45-degree angle.""

You can also teleport one willing creature. The creature must be within 5 feet of you when you teleport, and it teleports to a space within 5 feet of your destination space.

If you, the other creature, or both would arrive in a space occupied by a creature or completely filled by one or more objects, you and any creature traveling with you each take 4d6 Force damage, and the teleportation fails.",""
"Disguise Self","PHB'24","262","1st","Action","1 hour","Illusion","Self","V, S","Artificer (EFA), Bard (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Gloom Stalker (PHB'24) Ranger, Gloom Stalker (XGE) Ranger, Great Fool (TCM'24) Warlock, Illusionist (PHB'24) Wizard, Great Fool (TCM'14) Warlock, Great Fool (TCM'14) Warlock, Trickery (PHB'24) Cleric, Trickery (PHB'14) Cleric, Ambition (PSA) (PSA) Cleric, Ambition (PSA) (PSA) Cleric","You make yourself—including your clothing, armor, weapons, and other belongings on your person—look different until the spell ends. You can seem 1 foot shorter or taller and can appear heavier or lighter. You must adopt a form that has the same basic arrangement of limbs as you have. Otherwise, the extent of the illusion is up to you.

The changes wrought by this spell fail to hold up to physical inspection. For example, if you use this spell to add a hat to your outfit, objects pass through the hat, and anyone who touches it would feel nothing.

To discern that you are disguised, a creature must take the Study action to inspect your appearance and succeed on an Intelligence (Investigation) check against your spell save DC.",""
"Disintegrate","PHB'24","263","6th","Action","Instantaneous","Transmutation","60 feet","V, S, M (a lodestone and dust)","Sorcerer (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric","You launch a green ray at a target you can see within range. The target can be a creature, a nonmagical object, or a creation of magical force, such as the wall created by Wall of Force.

A creature targeted by this spell makes a Dexterity saving throw. On a failed save, the target takes 10d6 + 40 Force damage. If this damage reduces it to 0 Hit Points, it and everything nonmagical it is wearing and carrying are disintegrated into gray dust. The target can be revived only by a True Resurrection or a Wish spell.

This spell automatically disintegrates a Large or smaller nonmagical object or a creation of magical force. If such a target is Huge or larger, this spell disintegrates a 10-foot-Cube portion of it.","Using a Higher-Level Spell Slot. The damage increases by 3d6 for each spell slot level above 6."
"Dismiss Deity","CBT","0","5th","Action","Instantaneous","Abjuration","120 feet","V, S","Bard (PHB'24), Cleric (PHB'24), Druid (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","","You exert the natural order of the cosmos and force a Mythos entity back from whence it came. Choose a Bloodied Mythos or Deity creature that you can see within range. The target is transported to a random location on a plane (GM's choice) associated with its creature type.",""
"Dispel Magic","PHB'24","264","3rd","Action","Instantaneous","Abjuration","120 feet","V, S","Artificer (EFA), Bard (PHB'24), Cleric (PHB'24), Druid (PHB'24), Paladin (PHB'24), Ranger (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","Abjurer (PHB'24) Wizard, Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Clockwork (PHB'24) Sorcerer, Clockwork Soul (TCE) Sorcerer, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Fey Wanderer (TCE) Ranger, Knowledge (FRHoF) Cleric, Lunar (DSotDQ) Sorcerer, Lunar (DSotDQ) Sorcerer, Devotion (PHB'24) Paladin, Devotion (PHB'14) Paladin, Spellfire (FRHoF) Sorcerer, Trickery (PHB'14) Cleric","Choose one creature, object, or magical effect within range. Any ongoing spell of level 3 or lower on the target ends. For each ongoing spell of level 4 or higher on the target, make an ability check using your spellcasting ability (DC 10 plus that spell's level). On a successful check, the spell ends.","Using a Higher-Level Spell Slot. You automatically end a spell on the target if the spell's level is equal to or less than the level of the spell slot you use."
"Distort Value","AI","75","1st","1 Min.","8 hours","Illusion","Touch","V","Bard (PHB'14), Bard (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Illusionist (PHB'24) Wizard","Do you need to squeeze a few more gold pieces out of a merchant as you try to sell that weird octopus statue you liberated from the chaos temple? Do you need to downplay the worth of some magical assets when the tax collector stops by? Distort value has you covered.

You cast this spell on an object no more than 1 foot on a side, doubling the object's perceived value by adding illusory flourishes or polish to it, or reducing its perceived value by half with the help of illusory scratches, dents, and other unsightly features. Anyone examining the object can ascertain its true value with a successful Intelligence (Investigation) check against your spell save DC.","At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the maximum size of the object increases by 1 foot for each slot level above 1st."
"Dominate Beast","PHB'24","265","4th","Action","Concentration, up to 1 minute","Enchantment","60 feet","V, S","Druid (PHB'24), Ranger (PHB'24), Sorcerer (PHB'24)","","Archfey (PHB'24) Warlock, Hollow Warden (RHW) Ranger, Nature (PHB'14) Cleric, Nature (PHB'14) Cleric, Conquest (XGE) Paladin, Conquest (XGE) Paladin, Archfey (PHB'14) Warlock, Great Old One (PHB'14) Warlock, Strength (PSA) (PSA) Cleric, Strength (PSA) (PSA) Cleric","One Beast you can see within range must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target has Advantage on the save if you or your allies are fighting it. Whenever the target takes damage, it repeats the save, ending the spell on itself on a success.

You have a telepathic link with the Charmed target while the two of you are on the same plane of existence. On your turn, you can use this link to issue commands to the target (no action required), such as ""Attack that creature,"" ""Move over there,"" or ""Fetch that object."" The target does its best to obey on its turn. If it completes an order and doesn't receive further direction from you, it acts and moves as it likes, focusing on protecting itself.

You can command the target to take a Reaction but must take your own Reaction to do so.","Using a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 5 (up to 10 minutes), 6 (up to 1 hour), or 7+ (up to 8 hours)."
"Dominate Monster","PHB'24","265","8th","Action","Concentration, up to 1 hour","Enchantment","60 feet","V, S","Bard (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric","One creature you can see within range must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target has Advantage on the save if you or your allies are fighting it. Whenever the target takes damage, it repeats the save, ending the spell on itself on a success.

You have a telepathic link with the Charmed target while the two of you are on the same plane of existence. On your turn, you can use this link to issue commands to the target (no action required), such as ""Attack that creature,"" ""Move over there,"" or ""Fetch that object."" The target does its best to obey on its turn. If it completes an order and doesn't receive further direction from you, it acts and moves as it likes, focusing on protecting itself.

You can command the target to take a Reaction but must take your own Reaction to do so.","Using a Higher-Level Spell Slot. Your Concentration can last longer with a level 9 spell slot (up to 8 hours)."
"Dominate Person","PHB'24","266","5th","Action","Concentration, up to 1 minute","Enchantment","60 feet","V, S","Bard (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Archfey (PHB'24) Warlock, Horned King (TCM'24) Warlock, Conquest (XGE) Paladin, Conquest (XGE) Paladin, Oathbreaker (DMG'14) Paladin, Oathbreaker (DMG'14) Paladin, Order (TCE) Cleric, Order (TCE) Cleric, Archfey (PHB'14) Warlock, Great Old One (PHB'14) Warlock, Horned King (TCM'14) Warlock, Horned King (TCM'14) Warlock, Trickery (PHB'14) Cleric, Trickery (PHB'24) Cleric, Ambition (PSA) (PSA) Cleric, Ambition (PSA) (PSA) Cleric","One Humanoid you can see within range must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target has Advantage on the save if you or your allies are fighting it. Whenever the target takes damage, it repeats the save, ending the spell on itself on a success.

You have a telepathic link with the Charmed target while the two of you are on the same plane of existence. On your turn, you can use this link to issue commands to the target (no action required), such as ""Attack that creature,"" ""Move over there,"" or ""Fetch that object."" The target does its best to obey on its turn. If it completes an order and doesn't receive further direction from you, it acts and moves as it likes, focusing on protecting itself.

You can command the target to take a Reaction but must take your own Reaction to do so.","Using a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 6 (up to 10 minutes), 7 (up to 1 hour), or 8+ (up to 8 hours)."
"Draconic Transformation","FTD","19","7th","Bonus","Concentration, up to 1 minute","Transmutation","Self","V, S, M (a statuette of a dragon, worth at least 500 gp)","","Druid (PHB'14), Druid (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric","With a roar, you draw on the magic of dragons to transform yourself, taking on draconic features. You gain the following benefits until the spell ends:

Blindsight. You have blindsight with a range of 30 feet. Within that range, you can effectively see anything that isn't behind total cover, even if you're blinded or in darkness. Moreover, you can see an invisible creature, unless the creature successfully hides from you.

Breath Weapon. When you cast this spell, and as a bonus action on subsequent turns for the duration, you can exhale shimmering energy in a 60-foot cone. Each creature in that area must make a Dexterity saving throw, taking 6d8 force damage on a failed save, or half as much damage on a successful one.

Wings. Incorporeal wings sprout from your back, giving you a flying speed of 60 feet.",""
"Dragon's Breath","PHB'24","266","2nd","Bonus","Concentration, up to 1 minute","Transmutation","Touch","V, S, M (a hot pepper)","Artificer (EFA), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Draconic (PHB'24) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You touch one willing creature, and choose Acid, Cold, Fire, Lightning, or Poison. Until the spell ends, the target can take a Magic action to exhale a 15-foot Cone. Each creature in that area makes a Dexterity saving throw, taking 3d6 damage of the chosen type on a failed save or half as much damage on a successful one.","Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 2."
"Dread Curse of Azathoth","CBT","0","7th","Bonus","Concentration, up to 1 minute","Evocation","120 feet","V","Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","","You utter the secret name of Azathoth and doom a creature to an inevitable death unless it breaks the spell. The creature gains a curse point at the end of each of its turns. When the creature gains its third curse point, it dies. It loses all curse points when the spell ends.",""
"Dream of the Blue Veil","TCE","106","7th","10 Min.","6 hours","Conjuration","20 feet","V, S, M (a magic item or a willing creature from the destination world)","","Bard (PHB'14), Bard (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric","You and up to eight willing creatures within range fall unconscious for the spell's duration and experience visions of another world on the Material Plane, such as Oerth, Toril, Krynn, or Eberron. If the spell reaches its full duration, the visions conclude with each of you encountering and pulling back a mysterious blue curtain. The spell then ends with you mentally and physically transported to the world that was in the visions.

To cast this spell, you must have a magic item that originated on the world you wish to reach, and you must be aware of the world's existence, even if you don't know the world's name. Your destination in the other world is a safe location within 1 mile of where the magic item was created. Alternatively, you can cast the spell if one of the affected creatures was born on the other world, which causes your destination to be a safe location within 1 mile of where that creature was born.

The spell ends early on a creature if that creature takes any damage, and the creature isn't transported. If you take any damage, the spell ends for you and all the other creatures, with none of you being transported.",""
"Dust Devil","XGE","154","2nd","Action","Concentration, up to 1 minute","Conjuration","60 feet","V, S, M (a pinch of dust)","","Druid (PHB'14), Druid (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","Choose an unoccupied 5-foot cube of air that you can see within range. An elemental force that resembles a dust devil appears in the cube and lasts for the spell's duration.

Any creature that ends its turn within 5 feet of the dust devil must make a Strength saving throw. On a failed save, the creature takes 1d8 bludgeoning damage and is pushed 10 feet away from the dust devil. On a successful save, the creature takes half as much damage and isn't pushed.

As a bonus action, you can move the dust devil up to 30 feet in any direction. If the dust devil moves over sand, dust, loose dirt, or light gravel, it sucks up the material and forms a 10-foot-radius cloud of debris around itself that lasts until the start of your next turn. The cloud heavily obscures its area.","At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd."
"Dust of Suleiman","CBT","0","4th","Action","Concentration, up to 10 minutes","Conjuration","120 feet","V, S","Cleric (PHB'24), Druid (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","","You conjure a cloud of fine dust that harms supernatural creatures. You create a 30-foot-radius Sphere of dust centered on a point within range. Choose a creature type other than Beast or Humanoid. Each creature of the chosen type within the Sphere take 20 Force damage. A creature also takes this damage when it enters the Sphere or ends its turn there. A creature can take this damage only once per turn.",""
"Earth Tremor","XGE","155","1st","Action","Instantaneous","Evocation","10 feet","V, S","","Bard (PHB'14), Bard (PHB'24), Druid (PHB'14), Druid (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard","You cause a tremor in the ground within range. Each creature other than you in that area must make a Dexterity saving throw. On a failed save, a creature takes 1d6 bludgeoning damage and is knocked prone. If the ground in that area is loose earth or stone, it becomes difficult terrain until cleared, with each 5-foot-diameter portion requiring at least 1 minute to clear by hand.","At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st."
"Earthbind","XGE","154","2nd","Action","Concentration, up to 1 minute","Transmutation","300 feet","V","","Druid (PHB'14), Druid (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","Choose one creature you can see within range. Yellow strips of magical energy loop around the creature. The target must succeed on a Strength saving throw, or its flying speed (if any) is reduced to 0 feet for the spell's duration. An airborne creature affected by this spell safely descends at 60 feet per round until it reaches the ground or the spell ends.",""
"Earthquake","PHB'24","267","8th","Action","Concentration, up to 1 minute","Transmutation","500 feet","V, S, M (a fractured rock)","Cleric (PHB'24), Druid (PHB'24), Sorcerer (PHB'24)","","Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer","Choose a point on the ground that you can see within range. For the duration, an intense tremor rips through the ground in a 100-foot-radius circle centered on that point. The ground there is Difficult Terrain.

When you cast this spell and at the end of each of your turns for the duration, each creature on the ground in the area makes a Dexterity saving throw. On a failed save, a creature has the Prone condition, and its Concentration is broken.

You can also cause the effects below.

Fissures. A total of 1d6 fissures open in the spell's area at the end of the turn you cast it. You choose the fissures' locations, which can't be under structures. Each fissure is 1d10 × 10 feet deep and 10 feet wide, and it extends from one edge of the spell's area to another edge. A creature in the same space as a fissure must succeed on a Dexterity saving throw or fall in. A creature that successfully saves moves with the fissure's edge as it opens.

Structures. The tremor deals 50 Bludgeoning damage to any structure in contact with the ground in the area when you cast the spell and at the end of each of your turns until the spell ends. If a structure drops to 0 Hit Points, it collapses.

A creature within a distance from a collapsing structure equal to half the structure's height makes a Dexterity saving throw. On a failed save, the creature takes 12d6 Bludgeoning damage, has the Prone condition, and is buried in the rubble, requiring a DC 20 Strength (Athletics) check as an action to escape. On a successful save, the creature takes half as much damage only.",""
"Elementalism","PHB'24","267","Cantrip","Action","Instantaneous","Transmutation","30 feet","V, S","Artificer (EFA), Druid (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Land (PHB'14) Druid, Lore (PHB'24) Bard, Moon (FRHoF) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Nature (PHB'14) Cleric, Nature (PHB'14) Cleric, Noble Genies (FRHoF) Paladin, Elements (PHB'24) Monk, Strength (PSA) (PSA) Cleric, Strength (PSA) (PSA) Cleric","You exert control over the elements, creating one of the following effects within range.

Beckon Air. You create a breeze strong enough to ripple cloth, stir dust, rustle leaves, and close open doors and shutters, all in a 5-foot Cube. Doors and shutters being held open by someone or something aren't affected.

Beckon Earth. You create a thin shroud of dust or sand that covers surfaces in a 5-foot-square area, or you cause a single word to appear in your handwriting in a patch of dirt or sand.

Beckon Fire. You create a thin cloud of harmless embers and colored, scented smoke in a 5-foot Cube. You choose the color and scent, and the embers can light candles, torches, or lamps in that area. The smoke's scent lingers for 1 minute.

Beckon Water. You create a spray of cool mist that lightly dampens creatures and objects in a 5-foot Cube. Alternatively, you create 1 cup of clean water either in an open container or on a surface, and the water evaporates in 1 minute.

Sculpt Element. You cause dirt, sand, fire, smoke, mist, or water that can fit in a 1-foot Cube to assume a crude shape (such as that of a creature) for 1 hour.",""
"Elminster's Effulgent Spheres","FRHoF","144","6th","Action","1 hour","Evocation","Self","V, S, M (an opal worth 1,000 GP+)","Druid (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Evoker (PHB'24) Wizard","Six chromatic spheres orbit you for the duration.

While the spheres are present, you can expend spheres to create the following effects:

Absorb Energy. When you take Acid, Cold, Fire, Lightning, or Thunder damage, you can take a Reaction to expend one sphere and give yourself Resistance to the triggering damage type until the start of your next turn.

Energy Blast. As a Bonus Action, you send one sphere hurtling toward a target within 120 feet of yourself. Make a ranged spell attack. On a hit, the target takes 3d6 Acid, Cold, Fire, Lightning, or Thunder damage (your choice). Regardless of whether you hit, the sphere is expended.

The spell ends early if you have no more spheres remaining.","Using a Higher-Level Spell Slot. The number of spheres increases by 1 for every spell slot level above 6."
